~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ Added ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Name					Version		URL																		Comments
pamscookables			1.1			https://minecraft.curseforge.com/projects/pams-cookables				~
Placebo					1.6.0		https://minecraft.curseforge.com/projects/placebo						Required by Toast+Control
primitivemobs			1.2.3a		https://minecraft.curseforge.com/projects/primitive-mobs				~
ProjectE				1.4.0		https://minecraft.curseforge.com/projects/projecte						~
QuickLeafDecay			1.2.4		https://minecraft.curseforge.com/projects/quick-leaf-decay				~
randompatches			1.15.0.2	https://minecraft.curseforge.com/projects/randompatches					~
RandomThings			4.2.7.1		https://minecraft.curseforge.com/projects/random-things					~
RoguelikeDungeons		1.8.0		https://minecraft.curseforge.com/projects/roguelike-dungeons			~
roost					2.0.9		https://minecraft.curseforge.com/projects/roost							~
rustic					1.1.0		https://minecraft.curseforge.com/projects/rustic						~
SmoothFont				1.16.2		https://minecraft.curseforge.com/projects/smooth-font					~
stg						1.2.3		https://minecraft.curseforge.com/projects/swingthroughgrass				~
stonechests				1.0.0		https://minecraft.curseforge.com/projects/stone-chests					~
supersaix-VenomousFangs	1.1			https://minecraft.curseforge.com/projects/venomous-fangs				~
supersaix-modpack		0.2A		~																		~
supersaix-monica		0.1A		~																		~
TConstruct				2.12.0.135	https://minecraft.curseforge.com/projects/tinkers-construct				Requires Mantle
theoneprobe				1.4.28		https://minecraft.curseforge.com/projects/the-one-probe					~
Toast+Control			1.8.0		https://minecraft.curseforge.com/projects/toast-control					Requires Placebo
topaddons				1.11.0		https://minecraft.curseforge.com/projects/top-addons					~
Vampirism				1.4.9		https://minecraft.curseforge.com/projects/vampirism-become-a-vampire	~
VanillaFix				99			https://minecraft.curseforge.com/projects/vanillafix					~

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ Removed ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Name					Version		URL																		Reason
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Hwyla					B41			https://minecraft.curseforge.com/projects/hwyla							Replaced by theoneprobe
SmoothWater				0.1.4		https://minecraft.curseforge.com/projects/smoothwater					Replaced by MAGE
